material,score
CoCr,33.63834999
CoCr,32.69291264
CoCr,32.29226339
CoCr,32.47338237
CoCr,32.7450639
CoCr,38.54815
CoCr,30.26388146
CoCr,32.20131542
CoCr,31.07214732
CoCr,28.20342939
CoCr,31.66176736
CoCr,34.07134948
CoCr,32.35057749
CoCr,31.14094348
CoCr,30.92568601
CoCr,34.51346642
CoCr,31.89582134
CoCr,30.39453499
CoCr,36.19413795
CoCr,31.12796627
CoCr,32.12917869
CoCr,38.40859832
CoCr,34.61761533
CoCr,33.55882999
CoCr,32.16183628
CoCr,31.44023863
CoCr,31.45970271
CoCr,33.57865528
CoCr,33.63215522
CoCr,32.31037729
CoCr,30.98221684
CoCr,30.52773942
CoCr,30.52252527
CoCr,33.12338383
CoCr,32.21427492
CoCr,31.31255959
CoCr,33.1568133
CoCr,31.34141907
CoCr,33.05567189
CoCr,35.8341898
CoCr,35.18287071
CoCr,33.7226126
CoCr,31.46740974
CoCr,34.48592096
CoCr,32.67292275
CoCr,33.03377553
CoCr,37.20041155
CoCr,32.80434682
CoCr,32.54134649
CoCr,31.5652217
CoCr,37.2045382
CoCr,33.87894118
CoCr,34.02518931
CoCr,35.17925585
CoCr,33.29618136
CoCr,34.18244013
CoCr,32.49456281
CoCr,30.91674868
CoCr,33.06746409
CoCr,33.08161954
CoCr,30.91899963
CoCr,30.01280246
CoCr,32.85753168
CoCr,32.61570537
CoCr,32.73641891
CoCr,34.4142305
CoCr,33.85460018
CoCr,30.32704106
CoCr,36.01365533
CoCr,30.77406316
CoCr,31.70551252
CoCr,31.2846341
CoCr,34.46098745
CoCr,31.11686464
CoCr,33.78983598
CoCr,35.76265654
CoCr,32.97791053
CoCr,31.91481161
CoCr,33.07149514
CoCr,31.15905028
CoCr,32.16562102
CoCr,34.23784625
CoCr,30.14533005
CoCr,30.92935445
CoCr,33.93692144
CoCr,31.07459068
CoCr,32.63409742
CoCr,36.22131492
CoCr,29.72469258
CoCr,32.48533627
CoCr,33.84369353
CoCr,34.00684728
CoCr,31.16931825
CoCr,33.47043319
CoCr,32.44702967
CoCr,33.32037247
CoCr,33.25030448
CoCr,32.13789651
CoCr,33.47045308
CoCr,33.30270475
CoCr,29.92283638
CoCr,32.40219315
CoCr,31.93681258
CoCr,33.57977814
CoCr,34.23415896
CoCr,31.5023881
CoCr,33.11822408
CoCr,29.65758194
CoCr,29.9920697
CoCr,29.30146973
CoCr,32.10379173
CoCr,35.36221336
CoCr,31.4980896
CoCr,31.51887816
CoCr,33.48972129
CoCr,34.16125975
CoCr,33.96836952
CoCr,31.53842827
CoCr,29.30313948
CoCr,32.3132711
CoCr,32.64425507
CoCr,32.46085516
CoCr,33.20673049
CoCr,33.63916305
CoCr,34.41193087
CoCr,35.77340256
CoCr,34.55953306
CoCr,29.96629848
CoCr,32.10103526
CoCr,33.0440536
CoCr,31.11245192
CoCr,33.72987359
CoCr,31.6720813
CoCr,32.62229985
CoCr,31.17919935
CoCr,30.25367846
CoCr,30.82640463
CoCr,33.81041063
CoCr,34.2936469
CoCr,32.04525666
CoCr,31.22807086
CoCr,30.72459753
CoCr,32.92627385
CoCr,31.80546004
CoCr,29.93024255
CoCr,30.03615804
CoCr,34.08278755
CoCr,30.3980606
CoCr,29.74899848
CoCr,32.32547399
CoCr,36.25698066
CoCr,30.09158325
CoCr,33.67293209
CoCr,32.63104439
CoCr,31.01168369
CoCr,29.92081641
CoCr,33.65675214
CoCr,30.00988485
CoCr,31.75345619
CoCr,31.81142779
CoCr,31.67085806
CoCr,31.9447685
CoCr,32.41726735
CoCr,31.6249975
CoCr,31.93770791
CoCr,31.01033875
CoCr,32.06017628
CoCr,30.29884498
CoCr,33.3933345
CoCr,33.20185926
CoCr,33.85901189
CoCr,31.28835975
CoCr,30.18509345
CoCr,33.07029406
CoCr,32.57286591
CoCr,32.45024955
CoCr,34.80802291
CoCr,31.94703681
CoCr,31.43105259
CoCr,29.76942266
CoCr,34.36295443
CoCr,35.32010914
CoCr,33.38245824
CoCr,33.90049386
CoCr,32.35150569
CoCr,29.69266701
CoCr,31.78232075
CoCr,33.93847115
CoCr,31.22627569
CoCr,32.11755398
CoCr,35.1941232
CoCr,33.66508616
CoCr,33.53469788
CoCr,31.82207559
CoCr,31.17213373
CoCr,34.5552132
CoCr,32.70943329
CoCr,33.15575886
CoCr,32.40384666
CoCr,31.69634026
CoCr,32.31179432
CoCr,31.15965667
CoCr,32.62808027
CoCr,31.07377804
CoCr,34.15400057
CoCr,32.20412892
CoCr,32.83133478
CoCr,29.86620598
CoCr,35.58839775
CoCr,28.82709936
Ti6Al4V_workpiece,47.69040823
Ti6Al4V_workpiece,52.80971827
Ti6Al4V_workpiece,54.68533714
Ti6Al4V_workpiece,53.60519807
Ti6Al4V_workpiece,52.27324003
Ti6Al4V_workpiece,52.1179392
Ti6Al4V_workpiece,46.75357178
Ti6Al4V_workpiece,49.53978693
Ti6Al4V_workpiece,50.21218176
Ti6Al4V_workpiece,51.84805043
Ti6Al4V_workpiece,44.03711402
Ti6Al4V_workpiece,59.62086941
Ti6Al4V_workpiece,52.93929802
Ti6Al4V_workpiece,54.13611031
Ti6Al4V_workpiece,52.78185396
Ti6Al4V_workpiece,49.11821507
Ti6Al4V_workpiece,52.11265716
Ti6Al4V_workpiece,47.89256911
Ti6Al4V_workpiece,54.06581622
Ti6Al4V_workpiece,47.96556515
Ti6Al4V_workpiece,49.71385815
Ti6Al4V_workpiece,51.05977172
Ti6Al4V_workpiece,63.5260181
Ti6Al4V_workpiece,56.77718163
Ti6Al4V_workpiece,50.82005695
Ti6Al4V_workpiece,49.99365822
Ti6Al4V_workpiece,52.26498829
Ti6Al4V_workpiece,51.51622417
Ti6Al4V_workpiece,51.02639439
Ti6Al4V_workpiece,53.36929439
Ti6Al4V_workpiece,54.4676124
Ti6Al4V_workpiece,48.4651224
Ti6Al4V_workpiece,49.43064217
Ti6Al4V_workpiece,52.66306497
Ti6Al4V_workpiece,51.51660057
Ti6Al4V_workpiece,51.60468759
Ti6Al4V_workpiece,52.91547183
Ti6Al4V_workpiece,51.70472277
Ti6Al4V_workpiece,50.70447855
Ti6Al4V_workpiece,48.71384913
Ti6Al4V_workpiece,49.13754805
Ti6Al4V_workpiece,48.66023219
Ti6Al4V_workpiece,46.35104566
Ti6Al4V_workpiece,56.76495912
Ti6Al4V_workpiece,53.80607761
Ti6Al4V_workpiece,51.09398819
Ti6Al4V_workpiece,50.03937931
Ti6Al4V_workpiece,55.43375197
Ti6Al4V_workpiece,46.77607831
