scenario,component,method,iteration,score,activity labels,energy_scenario
CM HTO,Anesthesia,climate change,5,3.658947183633064,,Current
CM HTO,End-of-life,climate change,5,0.0,,Current
AM HTO,Total,climate change,5,12.404414595141716,,Current
AM HTO,Implant (material),climate change,5,2.305201488065477,,Current
AM HTO,Implant (manufac.),climate change,5,1.2820721437211704,,Current
AM HTO,Argon,climate change,5,0.8196572984862427,,Current
AM HTO,Instruments (material),climate change,5,3.1321078076645135,,Current
AM HTO,Instruments (manufac.),climate change,5,1.9075819855671412,,Current
AM HTO,Packaging,climate change,5,0.23743226471662904,,Current
AM HTO,Sterilisation,climate change,5,0.09551391928934296,,Current
AM HTO,Transport,climate change,5,0.06358468381456263,,Current
AM HTO,Anesthesia,climate change,5,2.5612630038166206,,Current
AM HTO,End-of-life,climate change,5,0.0,,Current
AM HTO (steel jig),Total,climate change,5,10.835416003895357,,Current
AM HTO (steel jig),Implant (material),climate change,5,2.305201488065477,,Current
AM HTO (steel jig),Implant (manufac.),climate change,5,1.2820721437211704,,Current
AM HTO (steel jig),Argon,climate change,5,0.8196572984862427,,Current
AM HTO (steel jig),Instruments (material),climate change,5,1.0315721397782356,,Current
AM HTO (steel jig),Instruments (manufac.),climate change,5,2.4449874805319576,,Current
AM HTO (steel jig),Packaging,climate change,5,0.23743226471662904,,Current
AM HTO (steel jig),Sterilisation,climate change,5,0.09551391928934296,,Current
AM HTO (steel jig),Transport,climate change,5,0.05771626548969078,,Current
AM HTO (steel jig),Anesthesia,climate change,5,2.5612630038166206,,Current
AM HTO (steel jig),End-of-life,climate change,5,0.0,,Current
UKR,Total,climate change,6,37.61557721963974,,Current
UKR,Implant (material),climate change,6,23.277814167500907,,Current
UKR,Implant (manufac.),climate change,6,5.232059883291327,,Current
UKR,Argon,climate change,6,0.00129507431487034,,Current
UKR,Instruments (material),climate change,6,0.3315211248991289,,Current
UKR,Instruments (manufac.),climate change,6,0.006260240583914364,,Current
UKR,Packaging,climate change,6,0.41161163380809274,,Current
UKR,Sterilisation,climate change,6,0.7455318691825682,,Current
UKR,Transport,climate change,6,3.7520763259990098,,Current
UKR,Anesthesia,climate change,6,3.7434440515945226,,Current
UKR,End-of-life,climate change,6,0.11396284846538725,,Current
CM HTO,Total,climate change,6,10.433645894987036,,Current
CM HTO,Implant (material),climate change,6,4.800259634239506,,Current
CM HTO,Implant (manufac.),climate change,6,0.3014175602504259,,Current
CM HTO,Argon,climate change,6,3.237685551603218e-05,,Current
CM HTO,Instruments (material),climate change,6,0.3315211248991289,,Current
CM HTO,Instruments (manufac.),climate change,6,0.006260240583914364,,Current
CM HTO,Packaging,climate change,6,0.29783413760506944,,Current
CM HTO,Sterilisation,climate change,6,0.3088795352027218,,Current
CM HTO,Transport,climate change,6,0.6439972337562483,,Current
CM HTO,Anesthesia,climate change,6,3.7434440515945226,,Current
CM HTO,End-of-life,climate change,6,0.0,,Current
AM HTO,Total,climate change,6,13.747649427571261,,Current
AM HTO,Implant (material),climate change,6,2.645427466509371,,Current
AM HTO,Implant (manufac.),climate change,6,1.7501308595342926,,Current
AM HTO,Argon,climate change,6,1.114230769376589,,Current
AM HTO,Instruments (material),climate change,6,3.46681766756343,,Current
AM HTO,Instruments (manufac.),climate change,6,1.7194834657002238,,Current
AM HTO,Packaging,climate change,6,0.2599279384016548,,Current
AM HTO,Sterilisation,climate change,6,0.08978995383072313,,Current
AM HTO,Transport,climate change,6,0.08143049795141838,,Current
AM HTO,Anesthesia,climate change,6,2.620410808703559,,Current
AM HTO,End-of-life,climate change,6,0.0,,Current
AM HTO (steel jig),Total,climate change,6,12.355559365872505,,Current
AM HTO (steel jig),Implant (material),climate change,6,2.645427466509371,,Current
AM HTO (steel jig),Implant (manufac.),climate change,6,1.7501308595342926,,Current
AM HTO (steel jig),Argon,climate change,6,1.114230769376589,,Current
AM HTO (steel jig),Instruments (material),climate change,6,1.1775193806087296,,Current
AM HTO (steel jig),Instruments (manufac.),climate change,6,2.6216564042883057,,Current
AM HTO (steel jig),Packaging,climate change,6,0.2599279384016548,,Current
AM HTO (steel jig),Sterilisation,climate change,6,0.08978995383072313,,Current
AM HTO (steel jig),Transport,climate change,6,0.07646578461927256,,Current
AM HTO (steel jig),Anesthesia,climate change,6,2.620410808703559,,Current
AM HTO (steel jig),End-of-life,climate change,6,0.0,,Current
UKR,Total,climate change,7,34.95208993398895,,Current
UKR,Implant (material),climate change,7,20.840276557761324,,Current
UKR,Implant (manufac.),climate change,7,5.39823145165969,,Current
UKR,Argon,climate change,7,0.0014877482034054697,,Current
UKR,Instruments (material),climate change,7,0.3172431490027052,,Current
UKR,Instruments (manufac.),climate change,7,0.003647081814199641,,Current
UKR,Packaging,climate change,7,0.3471987644576371,,Current
UKR,Sterilisation,climate change,7,0.6891154523883948,,Current
UKR,Transport,climate change,7,3.526307490690304,,Current
UKR,Anesthesia,climate change,7,3.697525009501672,,Current
UKR,End-of-life,climate change,7,0.1310572285096525,,Current
CM HTO,Total,climate change,7,9.408636931067033,,Current
CM HTO,Implant (material),climate change,7,3.5203679351863757,,Current
CM HTO,Implant (manufac.),climate change,7,0.6208169680506503,,Current
CM HTO,Argon,climate change,7,3.719370237893864e-05,,Current
CM HTO,Instruments (material),climate change,7,0.3172431490027052,,Current
CM HTO,Instruments (manufac.),climate change,7,0.003647081814199641,,Current
CM HTO,Packaging,climate change,7,0.2957068065878056,,Current
CM HTO,Sterilisation,climate change,7,0.3657930139513429,,Current
CM HTO,Transport,climate change,7,0.5874997732699127,,Current
CM HTO,Anesthesia,climate change,7,3.697525009501672,,Current
CM HTO,End-of-life,climate change,7,0.0,,Current
AM HTO,Total,climate change,7,12.250190731272573,,Current
AM HTO,Implant (material),climate change,7,2.219971443171359,,Current
AM HTO,Implant (manufac.),climate change,7,1.6464959653755358,,Current
AM HTO,Argon,climate change,7,0.8219063907578237,,Current
AM HTO,Instruments (material),climate change,7,2.964047758024706,,Current
AM HTO,Instruments (manufac.),climate change,7,1.5980685334330569,,Current
AM HTO,Packaging,climate change,7,0.2160519014785609,,Current
AM HTO,Sterilisation,climate change,7,0.11783999633818457,,Current
AM HTO,Transport,climate change,7,0.07754126199507051,,Current
AM HTO,Anesthesia,climate change,7,2.588267480698291,,Current
AM HTO,End-of-life,climate change,7,0.0,,Current
AM HTO (steel jig),Total,climate change,7,11.239286187027066,,Current
AM HTO (steel jig),Implant (material),climate change,7,2.219971443171359,,Current
AM HTO (steel jig),Implant (manufac.),climate change,7,1.6464959653755358,,Current
AM HTO (steel jig),Argon,climate change,7,0.8219063907578237,,Current
AM HTO (steel jig),Instruments (material),climate change,7,1.1355094792143259,,Current
AM HTO (steel jig),Instruments (manufac.),climate change,7,2.422474196627369,,Current
AM HTO (steel jig),Packaging,climate change,7,0.2160519014785609,,Current
AM HTO (steel jig),Sterilisation,climate change,7,0.11783999633818457,,Current
AM HTO (steel jig),Transport,climate change,7,0.07076933336561106,,Current
AM HTO (steel jig),Anesthesia,climate change,7,2.588267480698291,,Current
AM HTO (steel jig),End-of-life,climate change,7,0.0,,Current
UKR,Total,climate change,8,37.24345963121863,,Current
UKR,Implant (material),climate change,8,23.265703967998746,,Current
UKR,Implant (manufac.),climate change,8,4.6763620117184725,,Current
UKR,Argon,climate change,8,0.0007638465739463593,,Current
UKR,Instruments (material),climate change,8,0.5816974530517431,,Current
UKR,Instruments (manufac.),climate change,8,0.016196559814883674,,Current
UKR,Packaging,climate change,8,0.3035728511669815,,Current
UKR,Sterilisation,climate change,8,0.8457865395733932,,Current
UKR,Transport,climate change,8,3.713703883746608,,Current
UKR,Anesthesia,climate change,8,3.7163446012540713,,Current
UKR,End-of-life,climate change,8,0.12332791631975379,,Current
CM HTO,Total,climate change,8,10.380345347700498,,Current
CM HTO,Implant (material),climate change,8,4.24875024918546,,Current
CM HTO,Implant (manufac.),climate change,8,0.44633572761401213,,Current
CM HTO,Argon,climate change,8,1.9096162959230225e-05,,Current
CM HTO,Instruments (material),climate change,8,0.5816974530517436,,Current
CM HTO,Instruments (manufac.),climate change,8,0.016196559814883674,,Current
CM HTO,Packaging,climate change,8,0.23581820624265926,,Current
CM HTO,Sterilisation,climate change,8,0.42962473544918056,,Current
CM HTO,Transport,climate change,8,0.7055587189255238,,Current
CM HTO,Anesthesia,climate change,8,3.7163446012540713,,Current
CM HTO,End-of-life,climate change,8,0.0,,Current
AM HTO,Total,climate change,8,13.122434385423773,,Current
AM HTO,Implant (material),climate change,8,2.231896070622522,,Current
AM HTO,Implant (manufac.),climate change,8,1.9173040668392423,,Current
AM HTO,Argon,climate change,8,1.0132888866134637,,Current
AM HTO,Instruments (material),climate change,8,3.129543973986296,,Current
AM HTO,Instruments (manufac.),climate change,8,1.6998297719202455,,Current
AM HTO,Packaging,climate change,8,0.2917104697036603,,Current
AM HTO,Sterilisation,climate change,8,0.16088586283591538,,Current
AM HTO,Transport,climate change,8,0.07653408857571435,,Current
AM HTO,Anesthesia,climate change,8,2.6014411943267115,,Current
AM HTO,End-of-life,climate change,8,0.0,,Current
AM HTO (steel jig),Total,climate change,8,11.812151867578184,,Current
AM HTO (steel jig),Implant (material),climate change,8,2.231896070622522,,Current
AM HTO (steel jig),Implant (manufac.),climate change,8,1.9173040668392423,,Current
AM HTO (steel jig),Argon,climate change,8,1.0132888866134637,,Current
AM HTO (steel jig),Instruments (material),climate change,8,1.2118619146636846,,Current
AM HTO (steel jig),Instruments (manufac.),climate change,8,2.313780583037292,,Current
AM HTO (steel jig),Packaging,climate change,8,0.2917104697036603,,Current
AM HTO (steel jig),Sterilisation,climate change,8,0.16088586283591538,,Current
AM HTO (steel jig),Transport,climate change,8,0.06998281893568846,,Current
AM HTO (steel jig),Anesthesia,climate change,8,2.6014411943267115,,Current
AM HTO (steel jig),End-of-life,climate change,8,0.0,,Current
UKR,Total,climate change,9,34.78464017138001,,Current
UKR,Implant (material),climate change,9,21.28496829306362,,Current
UKR,Implant (manufac.),climate change,9,4.5637073452197665,,Current
UKR,Argon,climate change,9,0.0011515251518865552,,Current
UKR,Instruments (material),climate change,9,0.40525530889522704,,Current
UKR,Instruments (manufac.),climate change,9,0.012387397633491455,,Current
UKR,Packaging,climate change,9,0.44833117277611456,,Current
UKR,Sterilisation,climate change,9,0.5952850778401356,,Current
UKR,Transport,climate change,9,3.601270843351677,,Current
UKR,Anesthesia,climate change,9,3.7353940477351646,,Current
UKR,End-of-life,climate change,9,0.13688915971296758,,Current
CM HTO,Total,climate change,9,10.425546717609809,,Current
CM HTO,Implant (material),climate change,9,4.6597254330307045,,Current
CM HTO,Implant (manufac.),climate change,9,0.32899436632693363,,Current
CM HTO,Argon,climate change,9,2.878812670255181e-05,,Current
CM HTO,Instruments (material),climate change,9,0.40525530889522704,,Current
CM HTO,Instruments (manufac.),climate change,9,0.012387397633491455,,Current
CM HTO,Packaging,climate change,9,0.28142191434785213,,Current
CM HTO,Sterilisation,climate change,9,0.3555471943931309,,Current
CM HTO,Transport,climate change,9,0.6467922671206027,,Current
CM HTO,Anesthesia,climate change,9,3.7353940477351646,,Current
CM HTO,End-of-life,climate change,9,0.0,,Current
AM HTO,Total,climate change,9,12.821295053770385,,Current
AM HTO,Implant (material),climate change,9,2.335999899354266,,Current
AM HTO,Implant (manufac.),climate change,9,1.6805072248336754,,Current
AM HTO,Argon,climate change,9,0.9192074429886772,,Current
AM HTO,Instruments (material),climate change,9,3.1411458295532935,,Current
AM HTO,Instruments (manufac.),climate change,9,1.7277858608221714,,Current
AM HTO,Packaging,climate change,9,0.2097896488683844,,Current
AM HTO,Sterilisation,climate change,9,0.13479999380767935,,Current
AM HTO,Transport,climate change,9,0.05728334728432156,,Current
AM HTO,Anesthesia,climate change,9,2.614775806257912,,Current
AM HTO,End-of-life,climate change,9,0.0,,Current
AM HTO (steel jig),Total,climate change,9,11.589553510502185,,Current
AM HTO (steel jig),Implant (material),climate change,9,2.335999899354266,,Current
AM HTO (steel jig),Implant (manufac.),climate change,9,1.6805072248336754,,Current
AM HTO (steel jig),Argon,climate change,9,0.9192074429886771,,Current
AM HTO (steel jig),Instruments (material),climate change,9,1.0380665782332206,,Current
AM HTO (steel jig),Instruments (manufac.),climate change,9,2.6034977136329234,,Current
AM HTO (steel jig),Packaging,climate change,9,0.2097896488683844,,Current
AM HTO (steel jig),Sterilisation,climate change,9,0.13479999380767935,,Current
AM HTO (steel jig),Transport,climate change,9,0.052909202525451664,,Current
AM HTO (steel jig),Anesthesia,climate change,9,2.614775806257912,,Current
AM HTO (steel jig),End-of-life,climate change,9,0.0,,Current
UKR,Total,climate change,10,35.76414577408484,,Current
UKR,Implant (material),climate change,10,21.727639111837085,,Current
